"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros","sha256:508cc0ec18f7e196923429fa07fab8929c454e4a2f444410ee8886961fb66c24",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:23d05b6fbc1920a5162fc000801a80626df98c58707636649026b51c3095e71c",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2_batch_ci_aarch64_jammy_39_snapshot","sha256:e6449fadb9e5d96729018afdf8fe59212ca7442b757f85dc080fb484cc0f0267",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:5c7b580f1348d6b982e7df79fd52bf3af846c08ee1ef80437f663d2929d27a82",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:d33a7970d43c586bde4ce8f38f4b2705ea217a75d0f0a0736ed01283eadbde72",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","melodic-desktop-full",2022,10,"2022-10-01",1218,1959,0,1864
"osrf","ros","noetic-desktop-full-focal",2022,10,"2022-10-01",172,375,0,300
"osrf","ros","rolling-desktop",2022,10,"2022-10-01",441,414,0,605
"osrf","ros","sha256:2b205913d20b0d3b494fa2afbb9a83b2ce5538a35aca75fc6b9deafe712c4744",2022,10,"2022-10-01",21,0,64,0
"osrf","vmrc","nvidia_current",2022,10,"2022-10-01",17,21,0,0
"osrf","ros","dashing-desktop",2022,10,"2022-10-01",101,111,0,24
"osrf","ros","indigo-desktop-full",2022,10,"2022-10-01",102,102,0,38
"osrf","ros","humble-simulation-jammy",2022,10,"2022-10-01",36,68,0,34
"osrf","ros","crystal-desktop",2022,10,"2022-10-01",16,15,0,7
"osrf","ros","sha256:da409b9ddb7189d95ecac6c8d25785b65b66d57e525356bb1faaadaf676d1dd5",2022,10,"2022-10-01",12,0,12,0
"osrf","ros_legacy","sha256:327bfbfba213cb3d73d9e50341cb69e6cef8c131c1ded78df857295e8eb7abd9",2022,10,"2022-10-01",2,0,2,0
"osrf","ubuntu_arm64","trusty",2022,10,"2022-10-01",12,12,0,0
"osrf","ros","melodic-desktop-full-bionic",2022,10,"2022-10-01",188,313,0,1183
"osrf","ros","sha256:4eb31d6e7e529ce3fd66a9bc1656dae58a2b24b51f3948e994f7dd44adbda669",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","rolling-desktop-full-jammy",2022,10,"2022-10-01",34,66,0,32
"osrf","lrauv","sha256:06a6c8b7b2b297b62dc4a1337955673d35f768419e6578ab35c110074ab110d1",2022,10,"2022-10-01",6,0,6,0
"osrf","ros","sha256:8537809c9b6f974be50b0c3382a8f6a2cd091b78aac577bc1af745b4a50eda28",2022,10,"2022-10-01",6,0,6,0
"osrf","ubuntu_i386","bionic",2022,10,"2022-10-01",20,27,0,0
"osrf","ros_legacy","sha256:91b57485820ef87f947a0a4ebfcc685f2b076d11bddc4c60c4b8522052c04d70",2022,10,"2022-10-01",2,0,2,0
"osrf","lrauv","gz-garden-265-merge",2022,10,"2022-10-01",2,2,0,0
"osrf","lrauv","sha256:334b62a982e3875f3a2ba22137382da54cb52484e57e5128ff44e05205de6485",2022,10,"2022-10-01",4,0,4,0
"osrf","ros2","sha256:3a4bf011e5a0a139a309858224add742cc5674b67cdde7aaccd258f1fdd0a4f4",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:a05035108efbf790ae8fa1b2756a0dc4801558e50a3c6a371f98314a0b52f37c",2022,10,"2022-10-01",3,0,3,0
"osrf","debian_arm64","sha256:e54cdc9e401306206e546db2b637554f193036705d43157275bcd5d77267c534",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:d6248adac06a096b918c9245e08c1370e57a1d226beb46a9af0337544f0f8442",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:029417efbf55f6c1136f37f31c2a14c2ba6784e166034113672942df9a886bde",2022,10,"2022-10-01",1,0,1,0
"osrf","ros_legacy","sha256:58d66e003cec4f86d832883e8c815ca3969a4ea26d585ef01d002bb8244d8238",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:aef09ebf05a8b4f0c98612728272acadc1cd58a88bee9e76fa6d2fbe6b16983f",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:bac84b59c56813965bbdce483824ac8939f309b05768bf4f6ba6f4539b656056",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","foxy-desktop",2022,10,"2022-10-01",1464,1795,0,1661
"osrf","ros","melodic-desktop",2022,10,"2022-10-01",306,357,0,32
"osrf","ros","kinetic-desktop-full",2022,10,"2022-10-01",323,389,0,204
"osrf","ros","noetic-desktop",2022,10,"2022-10-01",262,358,0,366
"osrf","ros","humble-simulation",2022,10,"2022-10-01",6,11,0,2
